CLIENT_ID,ACCOUNT_ID,GENDER,BIRTH_DT,ACTIVE,LOAN,COUNTY_ID,SET_SPLIT
1,1,F,19701213,1,0,18,TRAIN
2,2,M,19450204,1,1,1,TRAIN
4,3,M,19561201,1,0,5,TEST
7,5,M,19290125,1,0,15,TRAIN
8,6,F,19380221,1,0,51,TRAIN
9,7,M,19351016,1,0,60,TRAIN
10,8,M,19430501,1,0,57,TRAIN
12,9,M,19810220,1,0,40,TRAIN
13,10,F,19740529,1,0,54,TRAIN
14,11,F,19420622,1,0,76,TRAIN
15,12,F,19180828,1,0,21,TRAIN
17,13,M,19341013,1,0,76,TRAIN
19,14,M,19421228,1,0,47,TEST
20,15,M,19790104,1,0,46,TRAIN
21,16,F,19521029,1,0,12,TRAIN
22,17,F,19691011,1,0,1,TRAIN
24,18,F,19390729,1,0,43,TRAIN
25,19,F,19390423,1,,21,TEST
26,20,F,19690420,1,0,74,TRAIN
27,21,F,19660326,1,0,54,TRAIN
28,22,M,19450929,1,0,1,TRAIN
29,23,F,19510911,1,0,30,TRAIN
30,24,F,19571009,1,0,74,TRAIN
31,25,M,19620209,1,1,68,TRAIN
32,26,M,19800728,1,0,52,TRAIN
33,27,F,19481204,1,0,73,TRAIN
36,29,F,19780717,1,0,7,TRAIN
38,30,F,19730723,1,0,36,TEST
39,31,M,19680125,1,0,68,TRAIN
40,32,F,19570122,1,0,5,TRAIN
41,33,M,19680827,1,0,22,TRAIN
42,34,M,19350817,1,0,68,TRAIN
43,35,M,19201028,1,0,75,TRAIN
44,36,F,19770111,1,0,38,TEST
45,37,M,19520826,1,1,20,TRAIN
46,38,F,19400130,1,1,19,TRAIN
47,39,M,19340714,1,0,76,TRAIN
48,40,M,19400209,1,0,16,TEST
49,41,F,19590511,1,0,72,TRAIN
50,42,F,19780730,1,0,39,TRAIN
51,43,F,19791202,1,0,36,TEST
52,44,M,19241212,1,0,32,TRAIN
53,45,M,19770505,1,,64,TRAIN
55,47,F,19480918,1,0,45,TRAIN
56,48,M,19600331,1,0,21,TRAIN
58,49,F,19270429,1,0,1,TRAIN
59,50,M,19570218,1,0,1,TEST
60,51,M,19800219,1,0,67,TRAIN
61,52,F,19480806,1,0,16,TRAIN
62,53,M,19321208,1,0,77,TEST
63,54,M,19590604,1,0,4,TRAIN
64,55,M,19260422,1,0,20,TRAIN
65,56,F,19430527,1,0,50,TRAIN
66,57,F,19511110,1,0,1,TRAIN
67,58,F,19321111,1,0,29,TRAIN
68,59,M,19461214,1,0,43,TRAIN
70,61,M,19251222,1,0,70,TRAIN
72,62,M,19230113,1,0,47,TRAIN
73,63,M,19240220,1,0,22,TRAIN
75,64,F,19770919,1,0,64,TRAIN
76,65,F,19671001,1,0,36,TRAIN
77,66,F,19560218,1,0,1,TEST
78,67,F,19440613,1,1,16,TRAIN
79,68,F,19690310,1,0,37,TRAIN
80,69,F,19790225,1,0,64,TRAIN
81,70,M,19760429,1,0,8,TRAIN
83,71,F,19781225,1,0,1,TRAIN
85,72,M,19610827,1,0,1,TRAIN
89,75,F,19510505,1,0,1,TRAIN
90,76,M,19750817,1,0,52,TRAIN
91,77,M,19400807,1,0,63,TRAIN
92,78,F,19660612,1,0,74,TRAIN
93,79,M,19250216,1,0,3,TRAIN
94,80,M,19470909,1,0,43,TRAIN
96,81,M,19720229,1,0,74,TEST
97,82,M,19651128,1,0,26,TRAIN
98,83,F,19730504,1,0,33,TEST
100,84,F,19420811,1,0,44,TRAIN
101,85,M,19430123,1,0,68,TRAIN
102,86,F,19580910,1,0,74,TRAIN
105,88,M,19800526,1,0,31,TRAIN
106,89,F,19681230,1,0,68,TRAIN
107,90,M,19720623,1,0,1,TRAIN
108,91,M,19630913,1,0,17,TRAIN
110,93,F,19670413,1,0,2,TRAIN
112,95,M,19350125,1,0,1,TRAIN
114,96,F,19690624,1,0,74,TRAIN
116,97,M,19420128,1,1,74,TRAIN
118,98,M,19220719,1,0,55,TRAIN
120,99,M,19760510,1,0,1,TRAIN
121,100,F,19781029,1,0,41,TEST
122,101,F,19631113,1,0,35,TRAIN
123,102,M,19690212,1,0,11,TEST
124,103,M,19670921,1,1,44,TRAIN
125,104,M,19361031,1,0,37,TEST
127,105,F,19501227,1,1,21,TEST
128,106,F,19730404,1,0,63,TRAIN
129,107,F,19470531,1,0,64,TRAIN
130,108,M,19420214,1,0,53,TRAIN
131,109,F,19770131,1,0,53,TRAIN
132,110,M,19530126,1,1,36,TRAIN
134,112,M,19320118,1,0,6,TEST
136,113,F,19210126,1,0,55,TRAIN
137,114,M,19230914,1,0,60,TRAIN
138,115,F,19721021,1,0,54,TRAIN
139,116,F,19590725,1,0,8,TRAIN
141,117,M,19251102,1,0,31,TRAIN
142,118,M,19370621,1,0,68,TRAIN
143,119,M,19780709,1,0,27,TRAIN
144,120,M,19581206,1,0,65,TRAIN
145,121,M,19780214,1,0,55,TRAIN
146,122,F,19611219,1,0,31,TRAIN
147,123,F,19331102,1,0,21,TEST
149,124,M,19480627,1,0,55,TRAIN
150,125,F,19800927,1,0,2,TRAIN
151,126,F,19710923,1,0,51,TRAIN
152,127,F,19451202,1,0,29,TRAIN
153,128,F,19810212,1,0,13,TRAIN
154,129,M,19330827,1,0,74,TRAIN
156,130,F,19300722,1,0,54,TRAIN
157,131,F,19430709,1,0,52,TRAIN
158,132,F,19450703,1,1,40,TEST
160,133,F,19420426,1,0,64,TRAIN
161,134,F,19431007,1,0,34,TRAIN
162,135,M,19411017,1,0,65,TRAIN
163,136,M,19330612,1,0,74,TRAIN
164,137,F,19620404,1,0,70,TEST
165,138,M,19681108,1,0,22,TRAIN
167,139,F,19780418,1,0,38,TRAIN
168,140,F,19761105,1,0,24,TRAIN
169,141,M,19530912,1,0,38,TRAIN
171,142,M,19290625,1,0,51,TRAIN
173,143,F,19181208,1,0,21,TRAIN
174,144,M,19781110,1,0,10,TEST
175,145,M,19600713,1,0,31,TEST
176,146,M,19290311,1,0,4,TRAIN
178,148,M,19601222,1,0,8,TRAIN
179,149,M,19801229,1,0,43,TRAIN
180,150,M,19820119,1,0,73,TRAIN
181,151,M,19670706,1,0,76,TRAIN
183,152,F,19780319,1,0,1,TRAIN
185,153,M,19540530,1,0,77,TRAIN
186,154,F,19610222,1,0,46,TRAIN
187,155,M,19420823,1,0,58,TRAIN
188,156,M,19600902,1,0,64,TRAIN
189,157,M,19190810,1,0,11,TRAIN
190,158,F,19471031,1,0,37,TRAIN
192,159,M,19710228,1,0,70,TRAIN
193,160,M,19620501,1,0,1,TRAIN
194,161,F,19241220,1,0,28,TRAIN
195,162,M,19191118,1,0,74,TRAIN
197,163,M,19330425,1,0,30,TEST
198,164,M,19760714,1,0,60,TRAIN
199,165,M,19230621,1,0,29,TRAIN
201,166,F,19300819,1,0,17,TRAIN
202,167,F,19761121,1,0,29,TRAIN
